chr1	18787054	18789547
chr1	112858070	112860605
chr1	96545273	96560281
chr1	222592548	222592615
chr1	37204445	37204512
chr1	9557136	9557203
chr1	209643246	209643313
chr1	113403236	113403373
chr1	134343785	134343922
chr1	182021991	182022128
chr1	111279357	111279494
chr1	78689974	78691444
chr1	81218736	81220206
chr1	140650971	140652441
chr1	24609403	24610320
chr1	198302650	198308443
chr1	140584648	140589337
chr1	194573623	194578312
chr1	38616116	38617054
chr1	212823652	212824590
chr1	5324177	5325115
chr1	231574411	231576040
chr1	230776311	230776381
chr1	53035392	53036330
chr1	129464726	129465664
chr1	143299046	143299984
chr1	137116633	137121225
chr1	136799765	136813588
chr1	192240315	192242778
chr1	204346608	204347924
chr1	207376054	207392067
chr1	194606065	194637920
chr1	175767997	175799645
chr1	188064773	188073504
chr1	207149745	207152619
chr1	142398522	142417365
chr1	99797021	99812074
chr1	98579615	98584750
chr1	124529614	124538997
chr1	203298229	203304204
chr1	163361860	163368755
chr1	17468955	17470088
chr1	215136661	215137703
chr1	215536684	215572678
chr1	104247211	104269332
chr1	133658686	133665405
chr1	25437632	25440971
chr1	81144475	81178741
chr1	177387917	177394954
chr1	112593418	112593512
chr1	212822628	212822717
chr1	195834297	195834379
chr1	41017232	41041287
chr1	227684649	227690831
chr1	137889397	137892481
chr1	116140092	116142905
chr1	122997682	123012841
chr1	232314137	232329207
chr1	75285689	75288492
chr1	124795089	124799358
chr1	208853736	208873678
chr1	102876227	102887816
chr1	121478214	121489807
chr1	134351837	134367376
chr1	42611191	42611251
chr1	124185562	124185645
chr1	43208360	43211457
chr1	105199562	105202642
chr1	203925618	203938720
chr1	212291454	212304514
chr1	201429886	201429950
chr1	191867164	191871258
chr1	171411580	171415614
chr1	102107064	102121204
chr1	70918558	70918616
chr1	24002488	24008346
chr1	89935255	89941360
chr1	108828837	108839689
chr1	107506995	107512859
chr1	91506506	91515614
chr1	194013337	194014808
chr1	149132640	149145271
chr1	119016531	119030155
chr1	123441890	123448944
chr1	102782079	102784595
chr1	96234144	96239528
chr1	247937634	247940490
chr1	8909705	8912729
chr1	193810587	193812246
chr1	236668815	236673231
chr1	189647455	189654647
chr1	125347597	125368070
chr1	5408399	5434482
chr1	8141378	8161377
chr1	13872924	13895447
chr1	186239113	186261270
chr1	79234205	79240051
chr1	137364786	137397976
chr1	30974518	30976641
chr1	119339514	119347291
chr1	129559221	129574416
chr1	179216682	179231787
chr1	142036371	142037838
chr1	137687674	137702424
chr1	135991225	135993703
chr1	149331776	149333644
chr1	373076	458242
chr1	36648542	36679837
chr1	230732083	230733952
chr1	104798705	104820683
chr1	191501419	191522580
chr1	244970707	244989321
chr1	19308397	19315807
